"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 1.000000000000000e+00, -2.775557561562891e-17, 1.238551128362215e+00, -5.936161837442016e-16, -2.966636310657225e+01, 2.608318464495101e+05
1, 9.999383162408303e-01, 1.494229174835160e-05, 1.278523369906151e+00, 7.831456938777394e+01, -1.896866347984765e+01, 2.698704507380619e+05
2, 9.997532801828658e-01, 5.975829557143542e-05, 1.265832612557003e+00, 7.810746992869088e+01, -1.891395465189719e+01, 2.672023008979568e+05
3, 9.994449374809850e-01, 1.344154163860217e-04, 1.256324327308338e+00, 8.065652207720495e+01, -1.952339484887332e+01, 2.652548893492756e+05
4, 9.990133642141358e-01, 2.388593929220501e-04, 1.256501333918433e+00, 8.554264739319800e+01, -2.069451106913589e+01, 2.653897268645164e+05
5, 9.984586668665640e-01, 3.730143932622054e-04, 1.255450028730689e+00, 8.747891395464416e+01, -2.114770289568896e+01, 2.652094278557542e+05
6, 9.977809823015400e-01, 5.367831480695417e-04, 1.253794332463799e+00, 8.839705221361035e+01, -2.135088118429570e+01, 2.648814823472625e+05
7, 9.969804777275898e-01, 7.300471209813614e-04, 1.250354277761160e+00, 9.025411336189983e+01, -2.177681221170502e+01, 2.641999053980924e+05
8, 9.960573506572389e-01, 9.526667154986235e-04, 1.250443792418746e+00, 9.187638971117062e+01, -2.214174411282395e+01, 2.642542665860137e+05
9, 9.950118288582788e-01, 1.204481517558254e-03, 1.249532461306974e+00, 9.336454917384474e+01, -2.246995071748533e+01, 2.640963555944978e+05
10, 9.938441702975689e-01, 1.485310572837781e-03, 1.248368028783417e+00, 9.455220760616005e+01, -2.272144356103828e+01, 2.638790523801865e+05
11, 9.925546630773869e-01, 1.794952697704619e-03, 1.247397252457590e+00, 9.580063362654396e+01, -2.298312258185981e+01, 2.637041199187803e+05
12, 9.911436253643444e-01, 2.133186822592822e-03, 1.246588973289492e+00, 9.700628112936222e+01, -2.323001937223662e+01, 2.635626349636216e+05
13, 9.896114053108829e-01, 2.499772366466119e-03, 1.245745980121678e+00, 9.823347593527083e+01, -2.347747408676229e+01, 2.634147478592680e+05
14, 9.879583809693737e-01, 2.894449640903449e-03, 1.244901541037411e+00, 9.939208773240115e+01, -2.370387457566939e+01, 2.632652778982797e+05
15, 9.861849601988383e-01, 3.316940282236266e-03, 1.244015942290470e+00, 1.004200115605487e+02, -2.389447379509417e+01, 2.631043298694693e+05
16, 9.842915805643155e-01, 3.766947710052496e-03, 1.243203477343497e+00, 1.013593146364350e+02, -2.405941492600738e+01, 2.629567842329161e+05
17, 9.822787092288989e-01, 4.244157610293328e-03, 1.242507803637464e+00, 1.023278692570087e+02, -2.422671741094598e+01, 2.628346464232841e+05
18, 9.801468428384714e-01, 4.748238441068350e-03, 1.241709522913740e+00, 1.032784777067509e+02, -2.438514441328945e+01, 2.626907886918276e+05
19, 9.778965073991650e-01, 5.278841959240291e-03, 1.241056370953200e+00, 1.041631371011313e+02, -2.452339644592480e+01, 2.625758771729902e+05
20, 9.755282581475768e-01, 5.835603765750555e-03, 1.240424681700975e+00, 1.050353803579185e+02, -2.465415124856541e+01, 2.624653261262333e+05
21, 9.730426794137726e-01, 6.418143867593470e-03, 1.239592766509688e+00, 1.059347489445279e+02, -2.478667100532878e+01, 2.623137193300694e+05
22, 9.704403844771128e-01, 7.026067254293861e-03, 1.238945015245295e+00, 1.067545369281054e+02, -2.489599618232669e+01, 2.621988042994228e+05
23, 9.677220154149337e-01, 7.658964486690359e-03, 1.238279438467636e+00, 1.075511187441911e+02, -2.499540978104610e+01, 2.620797041901711e+05
24, 9.648882429441257e-01, 8.316412295794176e-03, 1.237678714183508e+00, 1.083084930457582e+02, -2.508126493445883e+01, 2.619732938975169e+05
25, 9.619397662556433e-01, 8.997974189465380e-03, 1.237057401263010e+00, 1.090987219125961e+02, -2.517029472508880e+01, 2.618635731152263e+05
26, 9.588773128419905e-01, 9.703201064629324e-03, 1.236439989941619e+00, 1.098370082729308e+02, -2.524293616527109e+01, 2.617534222368014e+05
27, 9.557016383177226e-01, 1.043163182275089e-02, 1.235776512642375e+00, 1.105921668238384e+02, -2.531509734492036e+01, 2.616342049817961e+05
28, 9.524135262330097e-01, 1.118279398628529e-02, 1.235138242202229e+00, 1.112860188386956e+02, -2.536892900821521e+01, 2.615187322258299e+05
29, 9.490137878803078e-01, 1.195620431384030e-02, 1.234622079455925e+00, 1.119908750457421e+02, -2.542104483270247e+01, 2.614292205153522e+05
30, 9.455032620941839e-01, 1.275136941180244e-02, 1.234014329786965e+00, 1.126668381174631e+02, -2.546242363499803e+01, 2.613198575070230e+05
31, 9.418828150443468e-01, 1.356778634021795e-02, 1.233410485966167e+00, 1.133601889393360e+02, -2.550359533507020e+01, 2.612118917632445e+05
32, 9.381533400219317e-01, 1.440494321076047e-02, 1.232855964403027e+00, 1.139990965399922e+02, -2.552845307185796e+01, 2.611128412714022e+05
