"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -1.473824814,      0.4480963307,    -0.06448719334,       3.995579287,          6383.475,       1.154194027,       2.111241924,                 0,                 0,                 0,       0.604875193,      0.7700459139,       2.279591105,                 0,       1.829191517
          0,           0,           1,      -1.697389537,      0.3565699761,      0.7188727169,       3.774427676,          6383.475,       1.831395956,       3.084833652,                 0,                 0,                 0,      0.8509740298,       1.267897194,       3.355986667,                 0,       1.684416547
          0,           0,           2,      -1.788437681,      0.4800868925,      0.8110854314,       3.687555368,          6383.475,       1.958233954,       3.136941468,                 0,                 0,                 0,      0.8458015628,        1.38375981,       3.429328036,                 0,       1.601923745
          0,           0,           3,      -1.740101731,      0.5521515001,      0.8167205241,       3.734303443,          6383.475,       1.799013634,       2.823970712,                 0,                 0,                 0,      0.7442086963,       1.281305207,        3.09346369,                 0,       1.569732801
          0,           0,           4,       -1.67245386,      0.6587507077,      0.8551444384,       3.803854971,          6383.475,       1.571598292,       2.468963194,                 0,                 0,                 0,      0.6447864751,       1.118991224,       2.704359275,                 0,       1.570988723
          0,           0,           5,      -1.644223633,       0.724787013,      0.8999312911,       3.830760427,          6383.475,       1.257943013,       2.079314274,                 0,                 0,                 0,      0.5302920238,      0.8777628978,        2.26616433,                 0,        1.65294791
          0,           0,           6,      -1.616352833,      0.8456762955,      0.9886719278,       3.858796774,          6383.475,       1.106724507,       1.897906177,                 0,                 0,                 0,      0.4762689035,      0.7603429256,       2.061253411,                 0,       1.714885832
          0,           0,           7,      -1.600800385,      0.9008088178,       1.029967557,       3.871124256,          6383.475,        0.94786696,       1.806066755,                 0,                 0,                 0,       0.431386948,      0.6198465304,       1.943223913,                 0,       1.905401107
          0,           0,           8,      -1.589659654,      0.9816616007,       1.084921233,       3.878595067,          6383.475,      0.8991258205,       1.807075934,                 0,                 0,                 0,       0.420533604,      0.5716706362,        1.93575395,                 0,       2.009814302
          0,           0,           9,      -1.583466681,       1.015068736,       1.106250854,       3.879503629,          6383.475,      0.8038520675,       1.835933501,                 0,                 0,                 0,      0.3962984229,      0.4728332416,       1.947628992,                 0,        2.28391961
          0,           0,          10,      -1.585242491,       1.053777683,       1.124103177,       3.870970468,          6383.475,      0.7683387674,       1.862225006,                 0,                 0,                 0,      0.3872440085,      0.4332939964,       1.967354251,                 0,        2.42370304
          0,           0,          11,      -1.578952532,       1.066811798,        1.12704295,       3.871949454,          6383.475,      0.6478586832,       1.837578359,                 0,                 0,                 0,      0.3398857125,      0.3189241207,       1.922160894,                 0,       2.836387636
          0,           0,          12,      -1.570404958,       1.070433792,        1.11206334,       3.876927197,          6383.475,      0.5901403992,       1.815263399,                 0,                 0,                 0,      0.3147014631,      0.2659576593,       1.890162274,                 0,       3.075985649
          0,           0,          13,      -1.555452662,       1.067561258,       1.100052549,       3.890388153,          6383.475,      0.4429685701,       1.705004446,                 0,                 0,                 0,      0.2405191759,      0.1401679672,       1.756022283,                 0,       3.849041583
          0,           0,          14,      -1.534729084,       1.047708598,       1.063582265,       3.915036793,          6383.475,      0.3752318715,       1.642031969,                 0,                 0,                 0,      0.2038765079,     0.08439539704,       1.682244145,                 0,       4.376046104
          0,           0,          15,      -1.517904081,       1.036244784,       1.045368634,       3.933364458,          6383.475,      0.2310726828,       1.477131785,                 0,                 0,                 0,      0.1179228515,    -0.02893907311,       1.494816184,                 0,        6.39249853
          0,           0,          16,      -1.498912257,       1.009045183,        1.00806249,       3.959410669,          6383.475,      0.1696506059,       1.395843472,                 0,                 0,                 0,      0.0790090989,    -0.07531244318,       1.404096991,                 0,       8.227754121
          0,           0,          17,      -1.486745328,      0.9993110997,      0.9965521253,       3.973332453,          6383.475,     0.04627279633,       1.199835219,                 0,                 0,                 0,   -0.004853454478,     -0.1627793906,       1.189642212,                 0,       25.92960257
          0,           0,          18,      -1.476170724,      0.9841908237,      0.9819313074,       3.990353114,          6383.475,   -0.003306492728,       1.109022878,                 0,                 0,                 0,    -0.04036706326,     -0.1958360615,       1.091600163,                 0,      -335.4076267
          0,           0,          19,      -1.469807441,      0.9845291563,      0.9857899892,       3.997595505,          6383.475,     -0.1008524257,      0.8927324693,                 0,                 0,                 0,     -0.1131207661,     -0.2543416172,      0.8616570172,                 0,      -8.851869087
