"Time_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,                 0,       -4.38200639,      -1.817352952,      -2.223183011,       0.443410458,          6383.475,      0.8635098679,       1.803887168,                 0,                 0,                 0,      0.4625528997,      0.5371494932,       1.926428984,                 0,       2.089017434
          1,        0.00084023,      -5.222974615,      -1.892232834,      -2.344187648,      0.3154175883,          6383.475,      0.4946666629,       1.467270698,                 0,                 0,                 0,      0.3044583546,      0.2323626819,       1.530877524,                 0,        2.96618068
          2,        0.00168046,      -5.325616539,      -2.053443646,      -2.479719491,      0.1792358683,          6383.475,      0.2715062701,       1.151153306,                 0,                 0,                 0,      0.1494101368,     0.06748580591,        1.18081127,                 0,       4.239877429
          3,        0.00252069,      -5.402472513,      -2.153339593,      -2.576572551,      0.1081594313,          6383.475,       0.137359731,      0.9042597208,                 0,                 0,                 0,     0.02985895368,     -0.0217501246,      0.9143742508,                 0,       6.583150055
          4,        0.00336092,      -5.456765031,      -2.228358808,      -2.637727633,     0.04455897273,          6383.475,     0.05954698401,       0.742628128,                 0,                 0,                 0,    -0.03750679465,    -0.07031368959,      0.7416861633,                 0,       12.47129708
          5,        0.00420115,      -5.557169127,      -2.352869818,      -2.729546883,    -0.07932963163,          6383.475,     0.01943420623,      0.6578598137,                 0,                 0,                 0,    -0.05742050539,    -0.09509720084,      0.6512401594,                 0,       33.85061402
          6,        0.00504138,      -5.712705423,      -2.552985042,      -2.902074169,     -0.2833055448,          6383.475,    0.004908322137,      0.6294770141,                 0,                 0,                 0,    -0.04857710063,     -0.1044737827,      0.6207661651,                 0,       128.2468829
          7,        0.00588161,      -5.850641242,      -2.740576454,      -3.149362694,     -0.5342474003,          6383.475,    0.008148570179,      0.6392034137,                 0,                 0,                 0,    -0.02992704735,     -0.1029717329,      0.6309074619,                 0,       78.44362872
          8,        0.00672184,      -5.889698588,      -2.774789995,      -3.346996955,      -0.620366842,          6383.475,     0.02248347324,      0.6744225751,                 0,                 0,                 0,    -0.01288933771,    -0.09497035238,      0.6680807949,                 0,       29.99636969
          9,        0.00756207,      -5.932895302,      -2.791806732,      -3.409804319,     -0.6380210736,          6383.475,     0.04077146639,      0.7245888673,                 0,                 0,                 0,   -0.001184749674,    -0.08567148015,      0.7206606251,                 0,       17.77195994
         10,         0.0084023,      -5.976239849,      -2.836999476,      -3.461290404,     -0.6989091636,          6383.475,     0.05669387521,      0.7784948755,                 0,                 0,                 0,    0.005661441542,    -0.07935164859,      0.7765125772,                 0,       13.73155165
         11,        0.00924253,      -5.988710269,       -2.85197303,      -3.413669356,     -0.7002197764,          6383.475,     0.06683465263,      0.8261436083,                 0,                 0,                 0,     0.00923350138,    -0.07763904798,      0.8251983462,                 0,       12.36100699
         12,        0.01008276,      -6.015790906,      -2.842323186,      -3.325489645,     -0.6576352658,          6383.475,     0.07111050949,      0.8621375003,                 0,                 0,                 0,     0.01078944371,    -0.07967842477,      0.8613879049,                 0,       12.12391117
         13,        0.01092299,      -6.029388624,      -2.800822844,      -3.248024375,     -0.6112428538,          6383.475,     0.07146625585,      0.8866469407,                 0,                 0,                 0,     0.01108768963,    -0.08358410264,      0.8855867664,                 0,       12.40651172
         14,        0.01176322,      -6.041655251,      -2.778511953,      -3.213123738,     -0.6007060109,          6383.475,     0.07015829889,      0.9034329744,                 0,                 0,                 0,     0.01065631033,    -0.08778705295,      0.9018906582,                 0,       12.87706499
