# Digitised baseline (heave_mm); provenance and tolerance in examples/exp_digitised.py
U_ms,amplitude,kind
14.5,0.0,eq
15.5,0.0,eq
16.5,0.0,eq
17.5,0.0,eq
18.0,0.0,eq
18.5,0.0,eq
19.0,0.0,eq
19.5,0.0,eq
20.0,0.0,eq
20.5,0.0,eq
21.0,0.0,eq
21.5,0.0,eq
22.0,0.0,eq
22.5,0.0,eq
23.0,0.0,eq
23.5,0.0,eq
24.0,0.0,eq
24.5,0.0,eq
17.15,42,lco
19.0,52,lco
20.0,61,lco
20.7,66,lco
21.4,72,lco
22.6,81,lco
24.0,87,lco
25.0,95,lco
26.0,103,lco
27.0,110,lco
17.3,38,unstable
18.0,35,unstable
19.0,32,unstable
20.0,29,unstable
21.0,25,unstable
22.0,20,unstable
23.0,13,unstable
24.0,5,unstable
24.7,0,unstable
17.15,0.0,fold
24.7,0.0,hopf
