# NACA 0020, Re=1.6e5. Thickness interpolation of Sheldahl-Klimas
# (SAND80-2114) NACA 0018/0021 tables via Sandia CACTUS data files.
# alpha_deg, Cl
-180.00,0.000000
-175.00,0.660000
-170.00,0.850000
-165.00,0.680000
-160.00,0.635000
-155.00,0.670000
-150.00,0.770000
-145.00,0.900000
-140.00,0.980000
-135.00,0.930000
-130.00,0.850000
-125.00,0.760000
-120.00,0.670000
-115.00,0.575000
-110.00,0.450000
-105.00,0.320000
-100.00,0.185000
-95.00,0.050000
-90.00,-0.090000
-85.00,-0.230000
-80.00,-0.365000
-75.00,-0.500000
-70.00,-0.630000
-65.00,-0.760000
-60.00,-0.875000
-55.00,-0.955000
-50.00,-1.020000
-45.00,-1.050000
-40.00,-1.035000
-35.00,-0.980000
-30.00,-0.855000
-25.00,-0.654967
-22.00,-0.569067
-20.00,-0.540733
-18.00,-0.546600
-16.00,-0.595667
-14.00,-0.674100
-13.00,-0.714433
-12.00,-0.740467
-11.00,-0.757933
-10.00,-0.756567
-9.00,-0.735900
-8.00,-0.695433
-7.00,-0.638067
-6.00,-0.564400
-5.00,-0.481400
-4.00,-0.390467
-3.00,-0.293667
-2.00,-0.198600
-1.00,-0.092800
0.00,0.000000
1.00,0.092800
2.00,0.198600
3.00,0.293667
4.00,0.390467
5.00,0.481400
6.00,0.564400
7.00,0.638067
8.00,0.695433
9.00,0.735900
10.00,0.756567
11.00,0.757933
12.00,0.740467
13.00,0.714433
14.00,0.674100
16.00,0.595667
18.00,0.546600
20.00,0.540733
22.00,0.569067
25.00,0.654967
30.00,0.855000
35.00,0.980000
40.00,1.035000
45.00,1.050000
50.00,1.020000
55.00,0.955000
60.00,0.875000
65.00,0.760000
70.00,0.630000
75.00,0.500000
80.00,0.365000
85.00,0.230000
90.00,0.090000
95.00,-0.050000
100.00,-0.185000
105.00,-0.320000
110.00,-0.450000
115.00,-0.575000
120.00,-0.670000
125.00,-0.760000
130.00,-0.850000
135.00,-0.930000
140.00,-0.980000
145.00,-0.900000
150.00,-0.770000
155.00,-0.670000
160.00,-0.635000
165.00,-0.680000
170.00,-0.850000
175.00,-0.660000
180.00,0.000000
